DictWordID,PojUnicode,PojInput,KipUnicode,KipInput,HanLoTaibunPoj,PageNumber,PojNormalized,KipNormalized
1072,Ngó͘-jiáu-jiông,Ngoo2-jiau2-jiong5,Ngóo-jiáu-jiông,Ngoo2-jiau2-jiong5,五爪絨,281,Ngo-jiau-jiong,Ngoo-jiau-jiong
1073,Hoan-pô-oan,Hoan-po5-oan,Huan-pô-uan,Huan-po5-uan,蕃婆灣,281,Hoan-po-oan,Huan-po-uan
1074,Hoan-pô-oân,Hoan-po5-oan5,Huan-pô-uân,Huan-po5-uan5,蕃婆怨,281,Hoan-po-oan,Huan-po-uan
1075,Âng-kut-chôa,Ang5-kut-choa5,Âng-kut-tsuâ,Ang5-kut-tsua5,紅骨蛇,282,Ang-kut-choa,Ang-kut-tsua
1076,Saⁿ-kha-pih-chháu,Sann-kha-pih-chhau2,Sann-kha-pih-tsháu,Sann-kha-pih-tshau2,三角鼈草,282,Sa-kha-pih-chhau,Sann-kha-pih-tshau
1077,Saⁿ-kha-pih,Sann-kha-pih,Sann-kha-pih,Sann-kha-pih,三角鼈,282,Sa-kha-pih,Sann-kha-pih
1078,Sòe-pún-soaⁿ-phû-tô,Soe3-pun2-soann-phu5-to5,Suè-pún-suann-phû-tô,Sue3-pun2-suann-phu5-to5,細本山葡萄,282,Soe-pun-soa-phu-to,Sue-pun-suann-phu-to
1079,Phû-tô,Phu5-to5,Phû-tô,Phu5-to5,葡萄,283,Phu-to,Phu-to
1080,Kâu-hoaⁿ-hí,Kau5-hoann-hi2,Kâu-huann-hí,Kau5-huann-hi2,猴歡喜,283,Kau-hoa-hi,Kau-huann-hi
1081,Tō͘-eng,Too7-eng,Tōo-ing,Too7-ing,杜英、杜鶯,283,To-eng,Too-ing
1082,Chû-tāu,Chu5-tau7,Tsû-tāu,Tsu5-tau7,薯豆,283,Chu-tau,Tsu-tau
1083,Chû-táu,Chu5-tau2,Tsû-táu,Tsu5-tau2,薯斗,283,Chu-tau,Tsu-tau
1084,N̂g-môa,Ng5-moa5,N̂g-muâ,Ng5-mua5,黃麻,284,N̂g-moa,N̂g-mua
1085,Soaⁿ-môa,Soann-moa5,Suann-muâ,Suann-mua5,山麻,284,Soa-moa,Suann-mua
1086,Táu-lo̍k,Tau2-lok8,Táu-lo̍k,Tau2-lok8,斗鹿,284,Tau-lok,Tau-lok
1087,La̍k-ta̍k-chháu,Lak8-tak8-chhau2,La̍k-ta̍k-tsháu,Lak8-tak8-tshau2,？碡草、磱碡草,285,Lak-tak-chhau,Lak-tak-tshau
