Id,Afrikaans,AfrikaansIPA,English
138,"Betlehem","/bˈɛtliɛm/","Bethlehem"
139,"Birma","/bˈərmɐ/","Burma"
140,"Birmaan","/bˈərmɑːn/","Burmese"
141,"Birmees","/bˈərmiəs/","Burmese"
142,"Bisantium","/bˈisɐntˌiœm/","Byzantium"
143,"Bisantyns","/bisɐntˈɛɪns/","Byzantine"
144,"Bloemfontein","/blˈumfɔntˌɛɪn/","Bloemfontein"
145,"Bloubaard","/blˈəʊbɑːrt/","Bluebeard"
146,"Boeddha","/bˈudɑː/","Buddha"
147,"Boeddhisme","/budˈəsmə/","Buddhism"
148,"Boeddhist","/budˈəst/","Buddhist"
149,"Boekarest","/bˈukɐrˌɛst/","Bucharest"
150,"Boer","/bˈuːr/","1. Afrikaans❄2. Afrikaner, Boer"
151,"Boesman","/bˈusmɐn/","Bushman"
152,"Boheems","/buhˈiəms/","Bohemian"
153,"Boheme","/buhˈiəmə/","Bohemia"
154,"Boliwies","/bˈʊəlivˌis/","Bolivian"
155,"Boliwië","/bˈʊəlivˌiəiəə/","Bolivia"
156,"Bolsjewiek","/bˈɔlʃiəvˌik/","Bolshevik"
157,"Bolsjewis","/bˌɔlʃiəvˈəs/","Bolshevik"
158,"Bombaai","/bˈɔmbɑɪ/","Bombay"
159,"Brabander","/brˈɑːbɐndər/","Brabantine"
160,"Brabant","/brˈɑːbɐnt/","Brabant"
161,"Brabants","/brˈɑːbɐnts/","Brabantine"
162,"Brasiliaan","/brɐsˈəliˌɑːn/","Brazilian"
163,"Brasiliaans","/brɐsˌəliˈɑ̃ns/","Brazilian"
164,"Brasilië","/brɐsˈəliəiəə/","Brazil"
165,"Bretagne","/brˈiətɐxnə/","Bretagne, Brittany"
166,"Brit","/brˈət/","Briton"
167,"Brits","/brˈəts/","British"
168,"Brunswyk","/brˈœnsvɛɪk/","Brunswick"
169,"Brussel","/brˈœsəl/","Brussels"
170,"Brussels","/brˈœsəls/","Brussels"
171,"Brusselse","/brˈœsəlsə/","Brussels‐sprouts"
172,"Bulgaar","/bulxˈɑːr/","Bulgar, Bulgarian"
173,"Bulgaars","/bulxˈɑːrs/","Bulgarian"
174,"Bulgarye","/bulxɐrˈɛɪə/","Bulgaria"
175,"Bybel","/bˈɛɪbəl/","Bible"
176,"Caesar","/sˈizər/","Caesar"
177,"Calvyn","/kɐlfˈɛɪn/","Calvin"
178,"Carthager","/kˈɐrthɑːxər/","Carthaginian"
179,"Carthago","/kˈɐrthɑːxu/","Carthage"
180,"Celebes","/sˈiəliəbəs/","Celebes"
181,"Ceylon","/səlˈɔn/","Ceylon"
182,"Chileen","/xˈiliən/","Chilean"
183,"Chileens","/xˈiliəns/","Chilean"
184,"Chili","/xˈili/","Chile"
185,"China","/ʃˈinɐ/","China"
186,"Chinees","/ʃinˈiəs/","1. Chinese❄2. Chinaman"
187,"Christelik","/xrˈəstələk/","Christian"
188,"Christen","/xrˈəstən/","Christian"
189,"Christendom","/xrˈəstəndˌɔm/","Christianity"
190,"Christus","/xrˈəstœs/","Christ"
191,"Cipries","/sˈipris/","Cypriot, Cypriote"
192,"Ciprioot","/sˈipriˌʊət/","Cypriot"
193,"Ciprus","/sˈiprœs/","Cyprus"
194,"Columbus","/kˈʊəlœmbˌœs/","Columbus"
195,"Confucius","/kˈɔnfysˌiœs/","Confucius"
196,"Curaçao","/kˈyrɐkˌɑːʊə/","Curaçao"
197,"Dardanelles","/dˈɐrdɑːnˌɛlɛs/","Dardanelles, Hellespont"
198,"Deen","/dˈiən/","Dane"
199,"Deens","/dˈiəns/","Danish"
200,"Denemarke","/dˈiənəmˌɐrkə/","Denmark"
201,"Desember","/diəsˈɛmbər/","December"
202,"Deuteronomium","/dˌøətərʊənˈʊəmiˌœm/","Deuteronomy"
203,"Dinsdag","/dˈənsdɐx/","Tuesday"
204,"Dominikaans","/dɔminikˈɑ̃ns/","Dominican"
205,"Donau","/dunˈəʊ/","Danube"
206,"Donderdag","/dˈɔnərdˌɐx/","Thursday"
207,"Dories","/dˈʊəris/","Dorian, Doric"
208,"Drakensberge","/drˈɑːkənsbˌærɡə/","Drakensberg Mountains"
209,"Driekoninge","/drˈikʊənəŋə/","Epiphany, Twelfth‐night"
210,"Driekoningefees","/drˈikʊənˌəŋiəfˌiəs/","Epiphany, Twelfth‐night"
211,"Duits","/dˈøyts/","1. German❄2. German language"
212,"Duitser","/dˈøytsər/","German"
213,"Duitse","/dˈøytsə/","German measles"
214,"Duitse","/dˈøytsə/","German, German language"
215,"Duitsland","/dˈøytslɐnt/","Germany"
216,"Eden","/ˈiədən/","Eden"
217,"Edenburg","/ˈiədənbˌœrx/","Edinburgh"
218,"Egeïese","/ˈiəxəˌisə/","Aegean, Aegean Sea"
219,"Egipte","/iəxˈəptə/","Egypt"
220,"Egiptenaar","/iəxˈəptənˌɑːr/","Egyptian"
221,"Egipties","/iəxˈəptis/","Egyptian"
222,"Eksodus","/ɛksˈʊədœs/","Exodus"
223,"Elsasies","/ælsˈɑːsis/","Alsatian"
224,"Elsasser","/ˈælsɐsər/","Alsatian"
225,"Engeland","/ˈɛŋəlˌɐnt/","England"
226,"Engels","/ˈɛŋəls/","1. English❄2. English language"
227,"Engelsman","/ˈɛŋəlsmˌɐn/","Englishman, Sassenach"
228,"Eskimo","/ˈɛskimu/","Eskimo"
229,"Esperanto","/ˌɛspərˈɐntu/","Esperanto"
