id,poj_unicode,poj_input,kip_unicode,kip_input,abbreviations,noun_classifiers,reduplication,hoabun,english,synonym,cf,page_number,poj_normalized
2094,bún-chhiò,bun2-chhio3,bún-tshiò,bun2-tshio3,V,,,微笑,"smile bashfully, smile winsomely",,,18,bun-chhio
2095,bún-chhiò,bun2-chhio3,bún-tshiò,bun2-tshio3,N,,,微笑,bashful or winsome smile,,,18,bun-chhio
2096,bùn,bun3,bùn,bun3,V,,,鑽,creep or crawl in or out (of a hole),,,18,bun
2097,bùn-chhú,bun3-chhu2,bùn-tshú,bun3-tshu2,N,chiah,,鼬鼠,mole,,,18,bun-chhu
2098,bùn-chhú,bun3-chhu2,bùn-tshú,bun3-tshu2,N,lia̍p,,,a firework which jumps about when lighted,,,18,bun-chhu
2099,bûn,bun5,bûn,bun5,N,,,文,"written language, composition",,,18,bun
2100,bûn-bêng,bun5-beng5,bûn-bîng,bun5-bing5,SV/R,,,聞名,famous (col [chhut-mia5]),,,18,bun-beng
2101,bûn-bêng,bun5-beng5,bûn-bîng,bun5-bing5,SV,,,文明,"civilized, cultured",,,18,bun-beng
2102,bûn-bêng,bun5-beng5,bûn-bîng,bun5-bing5,N,,,文明,"civilization, culture",,,18,bun-beng
2103,bûn-bú,bun5-bu2,bûn-bú,bun5-bu2,Nmod/R,,,文武,"both scholar and soldier, (man) of many parts",,,18,bun-bu
2104,bûn-chiáu,bun5-chiau2,bûn-tsiáu,bun5-tsiau2,N,chiah,,文鳥,"munia, weaverbird, any bird of the genus Lonchura",,,18,bun-chiau
2105,bûn-chín,bun5-chin2,bûn-tsín,bun5-tsin2,V,,,門診,examine (a patient) in one's office or clinic,,,18,bun-chin
2106,bûn-chio̍h,bun5-chioh8,bûn-tsio̍h,bun5-tsioh8,N,tè,,文石,a veined semi-precious stone of black or brown color,,,18,bun-chioh
2107,bûn-chiuⁿ,bun5-chiunn,bûn-tsiunn,bun5-tsiunn,N,,,文章,"article, composition, essay",,,18,bun-chiu
2108,bûn-chiuⁿ,bun5-chiunn,bûn-tsiunn,bun5-tsiunn,N,,,文章,prose,,,18,bun-chiu
2109,bûn-chu-lân,bun5-chu-lan5,bûn-tsu-lân,bun5-tsu-lan5,N,châng,,文珠蘭,"Asiatic crinum, Crinum asiaticum",,,18,bun-chu-lan
2110,bûn-chhái,bun5-chhai2,bûn-tshái,bun5-tshai2,N,,,色彩,"ornament, decoration (on woman's dress)",,,18,bun-chhai
2111,bûn-e̍k-ōe-bâi,bun5-ek8-oe7-bai5,bûn-i̍k-uē-bâi,bun5-ik8-ue7-bai5,N/Orn,chiah,,紋翼畫眉,"Formosan bar-wing, Actinodura morrisoniana",,,18,bun-ek-oe-bai
2112,bûn-gē,bun5-ge7,bûn-gē,bun5-ge7,N,,,文藝,"art and literature, the literary arts",,,18,bun-ge
2113,bûn-giân,bun5-gian5,bûn-giân,bun5-gian5,N,,,文言,classical Chinese (pronunciation or literary style),,,18,bun-gian
2114,bûn-giân-thé,bun5-gian5-the2,bûn-giân-thé,bun5-gian5-the2,N,,,文言,classical Chinese literary style,,,18,bun-gian-the
2115,bûn-gûn,bun5-gun5,bûn-gûn,bun5-gun5,N,,,紋銀,"Chinese stamped silver ingots, (used as money)",,,18,bun-gun
2116,bûn-ha̍k,bun5-hak8,bûn-ha̍k,bun5-hak8,N,,,文學,literature,,,19,bun-hak
2117,bûn-ha̍k-īⁿ,bun5-hak8-inn7,bûn-ha̍k-īnn,bun5-hak8-inn7,N,ê/keng,,文學院,college of liberal arts,,,19,bun-hak-i
2118,bûn-ha̍k-sū,bun5-hak8-su7,bûn-ha̍k-sū,bun5-hak8-su7,N,,,文學士,bachelor of arts degree,,,19,bun-hak-su
2119,bûn-hê,bun5-he5,bûn-hê,bun5-he5,N,bé/chiah,,文蝦,"shrimp, Aristeopsis sp.",,,19,bun-he
2120,bûn-hòa,bun5-hoa3,bûn-huà,bun5-hua3,N,,,文化,culture,,,19,bun-hoa
2121,bûn-hoat,bun5-hoat,bûn-huat,bun5-huat,N,,,文法,grammar,,,19,bun-hoat
2122,bûn-iâu-hî,bun5-iau5-hi5,bûn-iâu-hî,bun5-iau5-hi5,N/Ich,bé,,文鰩魚,"flying fish, any member of the family Exocoetidae",,,19,bun-iau-hi
2123,bûn-jī,bun5-ji7,bûn-jī,bun5-ji7,N,,,文字,written language,,,19,bun-ji
2124,bûn-jîn,bun5-jin5,bûn-jîn,bun5-jin5,N,,,文人,literati,,,19,bun-jin
2125,bûn-kap,bun5-kap,bûn-kap,bun5-kap,N/Zool,lia̍p,,文蛤,"a bivalve mollusk, Meretrix meretrix",,,19,bun-kap
2126,bûn-kî,bun5-ki5,bûn-kî,bun5-ki5,N,pôaⁿ(game board)/hù(set)/jí(piece)/tiám(point),,圍棋,Go (a Japanese game),,,19,bun-ki
2127,bûn-kiāⁿ,bun5-kiann7,bûn-kiānn,bun5-kiann7,N,kiāⁿ,,文件,document,,,19,bun-kia
2128,bûn-koaⁿ,bun5-koann,bûn-kuann,bun5-kuann,N,ūi,,文官,government official (contrast with [bu2-koann]),,,19,bun-koa
2129,bûn-kù,bun5-ku3,bûn-kù,bun5-ku3,N,kù,,句子,sentence,,,19,bun-ku
2130,bûn-kū,bun5-ku7,bûn-kū,bun5-ku7,N,,,文具,stationery,,,19,bun-ku
2131,bûn-khò͘,bun5-khoo3,bûn-khòo,bun5-khoo3,N,,,文庫,archives (obs),,,19,bun-kho
2132,bûn-khò͘,bun5-khoo3,bûn-khòo,bun5-khoo3,N,,,文庫,series of books issued by a publisher in uniform binding (e.g. The Modern Library),,,19,bun-kho
2133,bûn-khū,bun5-khu7,bûn-khū,bun5-khu7,N,,,文具,stationery,,,19,bun-khu
2134,bûn-ngá,bun5-nga2,bûn-ngá,bun5-nga2,SV,,,文雅,"elegant, refined",,,19,bun-nga
2135,bûn-ngá,bun5-nga2,bûn-ngá,bun5-nga2,N,,,文雅,"elegancy, refinement",,,19,bun-nga
2136,bûn-pîn,bun5-pin5,bûn-pîn,bun5-pin5,N,tiuⁿ,,文憑,diploma,,,19,bun-pin
2137,bûn-pit,bun5-pit,bûn-pit,bun5-pit,N,ê,,文筆,(one's) literary style,,,19,bun-pit
2138,bûn-seng,bun5-seng,bûn-sing,bun5-sing,N,ê,,門生,"disciple, student of a particular school of thought",,,19,bun-seng
2139,bûn-su,bun5-su,bûn-su,bun5-su,N,tiuⁿ,,文書,"official document, despatch",,,19,bun-su
2140,bûn-su,bun5-su,bûn-su,bun5-su,N,ê,,文書,"military clerk, secretary",,,19,bun-su
2141,bûn-tàn/bûn-tàn-iū,bun5-tan3/bun5-tan3-iu7,bûn-tàn/bûn-tàn-iū,bun5-tan3/bun5-tan3-iu7,N,châng/lia̍p,,文旦(柚),"(gourd-shaped) pumelo, Citrus mexima form. buntan",,,19,bun-tan/bun-tan-iu
2142,bûn-teng,bun5-teng,bûn-ting,bun5-ting,N,ê,,門丁,"door-keeper, porter",,,19,bun-teng
2143,bûn-tô͘,bun5-too5,bûn-tôo,bun5-too5,N,ê,,門徒,disciple,,,19,bun-to
2144,bûn-tô͘,bun5-too5,bûn-tôo,bun5-too5,N,ê,,門徒,student of a particular school of thought,,,19,bun-to
2145,bûn-thâu-kó,bun5-thau5-ko2,bûn-thâu-kó,bun5-thau5-ko2,N,châng,,裏白饅頭果,"Hayata glochidion, Glochidion hayatai",,,19,bun-thau-ko
2146,bûn-thâu-kó,bun5-thau5-ko2,bûn-thâu-kó,bun5-thau5-ko2,N,châng,,克蘭樹,Kleinhovia hospita,,,19,bun-thau-ko
2147,būn,bun7,būn,bun7,SV,,būn-būn/būn-iū-iū,悶,"depressed, sad, worried",,,19,bun
2148,būn,bun7,būn,bun7,SV,,,悶,"depressing (weather), stuffy (room)",,,19,bun
2149,būn-hé/būn-hóe,bun7-he2/bun7-hoe2,būn-hé/būn-hué,bun7-he2/bun7-hue2,N,,,小火,"slow fire, low fire",,,19,bun-he/bun-hoe
2150,būn-loān,bun7-loan7,būn-luān,bun7-luan7,SV/R,,,,"(confused, in a state of anarchy, disorder (col [hun7-loan7])",,,19,bun-loan
2151,būn-pn̄g,bun7-png7,būn-pn̄g,bun7-png7,VO,,,燜飯,boil rice with little water and moderate fire,,,19,bun-pn̄g
2152,būn-tap,bun7-tap,būn-tap,bun7-tap,N,,,問答,book of question and answer on any subject,,,19,bun-tap
2153,būn-tap,bun7-tap,būn-tap,bun7-tap,N/Xtn,,,問答,catechism,,,19,bun-tap
2154,būn-tê/būn-tôe,bun7-te5/bun7-toe5,būn-tê/būn-tuê,bun7-te5/bun7-tue5,N,,,問題,"issue, matter, problem, question",,,19,bun-te/bun-toe
2155,būn-thâng,bun7-thang5,būn-thâng,bun7-thang5,N,bé/bóe,,蝒虫,"roundworm, Ascaris lumbricoides (?) (var bin7-thang5)",,,19,bun-thang
2156,būn-thiàⁿ,bun7-thiann3,būn-thiànn,bun7-thiann3,N,,,悶痛,"ache, dull pain",,,19,bun-thia
2157,but-á-hî,but-a2-hi5,but-á-hî,but-a2-hi5,N,bé,,魩子魚,any minute edible fish,,,19,but-a-hi
2158,bu̍t,but8,bu̍t,but8,N,,,物,"formative: entity, thing",,,19,but
2159,bu̍t-chit,but8-chit,bu̍t-tsit,but8-tsit,N,,,物質,"material things, substance, matter",,,19,but-chit
2160,bu̍t-chu,but8-chu,bu̍t-tsu,but8-tsu,N,,,物資,"materials, products, recources",,,19,but-chu
2161,bu̍t-io̍h,but8-ioh8,bu̍t-io̍h,but8-ioh8,N/Bib,,,沒藥,myrrh,,,19,but-ioh
2162,bu̍t-kè,but8-ke3,bu̍t-kè,but8-ke3,N,,,物價,"cost-of-living, price of commodities",,,19,but-ke
2163,bu̍t kheng ì tiōng,but8 kheng i3 tiong7,bu̍t khing ì tiōng,but8 khing i3 tiong7,Sph,,,禮輕情意重,a small token of my esteem,,,19,but kheng i tiong
2164,bu̍t-lí,but8-li2,bu̍t-lí,but8-li2,N,,,物理,physics,,,19,but-li
2165,bu̍t-lí,but8-li2,bu̍t-lí,but8-li2,Nmod,,,物理,"physical, physio-",,,19,but-li
2166,bu̍t-phín,but8-phin2,bu̍t-phín,but8-phin2,N/R,,,物品,"article of trade, commodity",,,19,but-phin
2167,bu̍t-sán,but8-san2,bu̍t-sán,but8-san2,N,,,物產,products,,,19,but-san
2168,bu̍t-sek,but8-sek,bu̍t-sik,but8-sik,V,,,物色,"search for, look for (someone of sthg desired or needed)",,,19,but-sek
2169,bu̍t-siu,but8-siu,bu̍t-siu,but8-siu,V,,,沒收,confiscate,,,19,but-siu
2170,cha,cha,tsa,tsa,V,,,查,investigate,,,20,cha
2171,cha-àm,cha-am3,tsa-àm,tsa-am3,Nt,,,昨晚,last night (ver [chang-am3]),,,20,cha-am
2172,cha-bó͘,cha-boo2,tsa-bóo,tsa-boo2,N,ê,,女子(妾妓),"concubine, mistress, prostitute",,,20,cha-bo
2173,cha-bó͘,cha-boo2,tsa-bóo,tsa-boo2,Nmod,ê,,女子(妾妓),female (human being),,,20,cha-bo
2174,cha-bó͘-kán,cha-boo2-kan2,tsa-bóo-kán,tsa-boo2-kan2,N,ê,,婢女,Domestic slave,,bó-ê,20,cha-bo-kan
2175,cha-bó͘-lâng,cha-boo2-lang5,tsa-bóo-lâng,tsa-boo2-lang5,N,ê,,婦人妻,"woman, wife",,,20,cha-bo-lang
2176,cha-bó͘-sun,cha-boo2-sun,tsa-bóo-sun,tsa-boo2-sun,N,ê,,孫女,"granddaughter, (a waman's) niece",,,20,cha-bo-sun
2177,cha-bó͘-thé,cha-boo2-the2,tsa-bóo-thé,tsa-boo2-the2,N,e,,女人氣質,effeminacy,,,20,cha-bo-the
2178,cha-chhat,cha-chhat,tsa-tshat,tsa-tshat,V,,,調查,investigate,,,20,cha-chhat
2179,cha-ē-hng,cha-e7-hng,tsa-ē-hng,tsa-e7-hng,Nt,,,昨晚,"last night, yesterday evening",,,20,cha-e-hng
2180,cha-ē-tàu,cha-e7-tau3,tsa-ē-tàu,tsa-e7-tau3,Nt,,,昨天中午,yesterday moon,,,20,cha-e-tau
2181,cha-giām,cha-giam7,tsa-giām,tsa-giam7,V,,,查驗,"censor, investigate officially",,,20,cha-giam
2182,cha-hng,cha-hng,tsa-hng,tsa-hng,Nt,,,昨天,yesterday,,,20,cha-hng
2183,cha-ji̍t,cha-jit8,tsa-ji̍t,tsa-jit8,Nt,,,昨日,yesterday,,,20,cha-jit
2184,cha-ji̍t-tàu,cha-jit8-tau3,tsa-ji̍t-tàu,tsa-jit8-tau3,Nt,,,昨天中午,yesterday noon,,,20,cha-jit-tau
2185,cha-keng,cha-keng,tsa-king,tsa-king,Vo/Xtn,,,查經,study the bible,,,20,cha-keng
2186,cha-keng-hōe,cha-keng-hoe7,tsa-king-huē,tsa-king-hue7,N,,,查經會,bible class (meeting),,,20,cha-keng-hoe
2187,cha-keng-pan,cha-keng-pan,tsa-king-pan,tsa-king-pan,N,,,查經班,bible class,,,20,cha-keng-pan
2188,cha-khó,cha-kho2,tsa-khó,tsa-kho2,V,,,查考,study by comparing all references,,,20,cha-kho
2189,cha-khòaⁿ,cha-khoann3,tsa-khuànn,tsa-khuann3,V,,,查看,investigate,,,20,cha-khoa
2190,cha-mî/cha-mî-hng,cha-mi5/cha-mi5-hng,tsa-mî/tsa-mî-hng,tsa-mi5/tsa-mi5-hng,Nt,,,昨晚,last night,,,20,cha-mi/cha-mi-hng
2191,cha-mn̄g,cha-mng7,tsa-mn̄g,tsa-mng7,V,,,查問,investigate by questioning,,,20,cha-mn̄g
2192,cha-po͘,cha-poo,tsa-poo,tsa-poo,Nmod,,,男子,"male (human being, var [ta-poo])",,kang-ê,20,cha-po
2193,chá,cha2,tsá,tsa2,SV,,chá-chá,早,"early, soon",,,20,cha
2194,chá-àm,cha2-am3,tsá-àm,tsa2-am3,TW,,,早晚,morning and night,,,20,cha-am
2195,chá-bān,cha2-ban7,tsá-bān,tsa2-ban7,Smod/Pmod,,,遲早,"sooner or later, any time",,chá-òaⁿ,20,cha-ban
2196,chá-chai,cha2-chai,tsá-tsai,tsa2-tsai,N,,,早齋,abstention from animal food at breakfast,,,20,cha-chai
2197,chá-chêng,cha2-cheng5,tsá-tsîng,tsa2-tsing5,Smod/Pmod,,,從前,"formerly, long ago",,,20,cha-cheng
2198,chá-chhan,cha2-chhan,tsá-tshan,tsa2-tshan,N,tǹg,,早餐,breakfast,,,20,cha-chhan
2199,chá-chhau,cha2-chhau,tsá-tshau,tsa2-tshau,N,,,早操,morning exercises,,,20,cha-chhau
2200,chá-iū,cha2-iu7,tsá-iū,tsa2-iu7,N,châng/lia̍p,,早柚,"early pumelo, citrus maxima form. soyu",,,20,cha-iu
2201,chá-ji̍t,cha2-jit8,tsá-ji̍t,tsa2-jit8,Nt,,,早期,"ancient times, early days",,,20,cha-jit
2202,chá-kî,cha2-ki5,tsá-kî,tsa2-ki5,Nt,,,早期,early period,,,20,cha-ki
2203,chá-khí,cha2-khi2,tsá-khí,tsa2-khi2,Nt,,,早上,this morning (var [chai2-khi2]),,,20,cha-khi
2204,chá-khí-sî,cha2-khi2-si5,tsá-khí-sî,tsa2-khi2-si5,Nt,,,早上,morning (var [chai2-khi2-si5]),,,20,cha-khi-si
2205,chá-khí-tǹg,cha2-khi2-tng3,tsá-khí-tǹg,tsa2-khi2-tng3,N,tǹg,,早餐,breakfast (var [chai2-khi2-tng3]),,,20,cha-khi-tng
2206,chá-nî,cha2-ni5,tsá-nî,tsa2-ni5,Nt,,,以前的年代,former years,,,20,cha-ni
2207,chá-òaⁿ,cha2-oann3,tsá-uànn,tsa2-uann3,smod/Pmod,,,早晚,anytime (during the day),,chá-bān,20,cha-oa
2208,chá-sán,cha2-san2,tsá-sán,tsa2-san2,V/N,,,早產,(have) a premature birth,,,20,cha-san
2209,chá-sí,cha2-si2,tsá-sí,tsa2-si2,V,,,夭折,die young,,,20,cha-si
2210,chá-sî,cha2-si5,tsá-sî,tsa2-si5,Nt,,,早期,"ancient times, early days",,,20,cha-si
2211,chá-tǹg,cha2-tng3,tsá-tǹg,tsa2-tng3,N,tǹg,,早餐,breakfast,,,20,cha-tng
2212,chá-thè/chá-thòe,cha2-the3/cha2-thoe3,tsá-thè/tsá-thuè,tsa2-the3/tsa2-thue3,V,,,早退,leave before quitting time,,,20,cha-the/cha-thoe
2213,chà,cha3,tsà,tsa3,V,,,炸,bomb,,,20,cha
2214,chà,cha3,tsà,tsa3,V,,,炸,fry in deep fat,,,20,cha
2215,chà,cha3,tsà,tsa3,V,,,詐,"defraud, play the imposter, swindle",,,20,cha
2216,chà,cha3,tsà,tsa3,Sv,,,詐,"crooked (person), fraudulent",,,20,cha
2217,chà-chhài,cha3-chhai3,tsà-tshài,tsa3-tshai3,N,châng,,榨菜,"Szechuan mustard, Brassica juncea var bulbifera",,,20,cha-chhai
2218,chà-khi,cha3-khi,tsà-khi,tsa3-khi,V,,,欺詐,"defraud, play the imposter, swindle",,,20,cha-khi
2219,chà-khi,cha3-khi,tsà-khi,tsa3-khi,N,,,欺詐,"fraud imposter, swindling",,,20,cha-khi
2220,chà-pāi,cha3-pai7,tsà-pāi,tsa3-pai7,V,,,詐敗,feign defeat,,,20,cha-pai
2221,chà-su̍t,cha3-sut8,tsà-su̍t,tsa3-sut8,N,,,詐術,"fraudulent practices, method of swindling",,,20,cha-sut
2222,chà-tân/chà-tôaⁿ,cha3-tan5/cha3-toann5,tsà-tân/tsà-tuânn,tsa3-tan5/tsa3-tuann5,N,lia̍p,,炸彈,bomb,,,20,cha-tan/cha-toa
2223,chā,cha7,tsā,tsa7,Bf,,,昨,"yesterday (Douglas, Campbell, Barclay and Tipson give 7th tone; Chiang, Kau and Chen and Chen give 1st tone, see entries under [cha].   )",,,20,cha
2224,cháⁿ,chann2,tsánn,tsann2,V,,,斬,strike something sharply in the middle (with the object of  breaking it ) <[chann2 chng-a2]: break a brick in two>,,,20,cha
2225,cháⁿ,chann2,tsánn,tsann2,V,,,斬,cut through (a line of people),,,20,cha
2226,cháⁿ,chann2,tsánn,tsann2,V,,,斬,cut off evenly (as in shortening a sleeve or skirt),,,20,cha
2227,cháⁿ,chann2,tsánn,tsann2,V,,,斬,take short-cut,,,20,cha
2228,cháⁿ-iūⁿ,chann2-iunn7,tsánn-iūnn,tsann2-iunn7,Pmod,,,怎樣,why (var of [chainn2-iunn7]),,,20,cha-iu
2229,chah,chah,tsah,tsah,V,,,攜帶,"take sthg along (that one expects  to need), carry sthg (in or attached to clothing, as handkerchief tucked in dress)",,,20,chah
2230,chah,chah,tsah,tsah,V,,,攜帶,grid up (the loins),,,20,chah
2231,cha̍h,chah8,tsa̍h,tsah8,V,,,截遮,"intercept , screen, hinder, obstruct",,,20,chah
2232,cha̍h,chah8,tsa̍h,tsah8,N,,,截遮,"(sun-)shade, (lamp-)shade, (water-)gate",,,20,chah
2233,cha̍h-pîn,chah8-pin5,tsa̍h-pîn,tsah8-pin5,N,ê,,屏風,portable screen used as a room divider,,,20,chah-pin
2234,chai,chai,tsai,tsai,N/Rc,,,齋,fast,,,20,chai
2235,chai,chai,tsai,tsai,V,,,知,"know (fact), feel (sensation)",,,20,chai
2236,chai,chai,tsai,tsai,V,,,栽,transplant,,,20,chai
2237,chai,chai,tsai,tsai,N,,,栽,"sapling, sprcut, young plant",,,20,chai
2238,chai,chai,tsai,tsai,BF,,chià-chai/chhài-chai/hî-chai/hoe-chai/koe-chai,栽,"young (of plants, animals)",,,20,chai
2239,chai,chai,tsai,tsai,V,,,栽,dive (head-first),,,20,chai
2240,chai-bat,chai-bat,tsai-bat,tsai-bat,N,,,知識,knowledge,,,20,chai-bat
2241,chai-bêng,chai-beng5,tsai-bîng,tsai-bing5,V,,,確知,know clearly,,,20,chai-beng
2242,chai-bîn,chai-bin5,tsai-bîn,tsai-bin5,N,ê,,災民,"victim, person(s) involved in calamity",,,20,chai-bin
2243,chai-chèng,chai-cheng3,tsai-tsìng,tsai-tsing3,V,,,栽,"plant, sow, transplant",,,20,chai-cheng
2244,chai-ē/chai-eh,chai-e7/chai-eh,tsai-ē/tsai-eh,tsai-e7/tsai-eh,N,ê,,災禍,calamity,,,20,chai-e/chai-eh
2245,chai-hāi,chai-hai7,tsai-hāi,tsai-hai7,N,ê,,災害,calamity,,,20,chai-hai
2246,chai-iáⁿ,chai-iann2,tsai-iánn,tsai-iann2,V,,,知道,"find out, know",,,20,chai-ia
2247,chai-kài bo̍k-io̍k,chai-kai3 bok8-iok8,tsai-kài bo̍k-io̍k,tsai-kai3 bok8-iok8,Sph,,,齋戒沐浴,fast and perform ceremonial ablutions,,,20,chai-kai bok-iok
2248,chai-khó͘,chai-khoo2,tsai-khóo,tsai-khoo2,Vo,,,知苦,experience an undesirable outcome,,,20,chai-kho
2249,chai-lān,chai-lan7,tsai-lān,tsai-lan7,N,,,災難,great affliction or calamity,,,20,chai-lan
2250,chai-lâng,chai-lang5,tsai-lâng,tsai-lang5,Vo,,,神志清明/醒過來,come to(after unconsciousness),,,20,chai-lang
2251,chai-lâng,chai-lang5,tsai-lâng,tsai-lang5,Vo,,,神志清明/醒過來,be aware of one’s surroundings (during severe illness ),,,20,chai-lang
2252,chai-pôe,chai-poe5,tsai-puê,tsai-pue5,V/N,,,栽培,nurture,,,20,chai-poe
2253,chai-sio chai-léng,chai-sio chai-leng2,tsai-sio tsai-líng,tsai-sio tsai-ling2,Sph,,,知冷暖,dress suitably for the weather,,,20,chai-sio chai-leng
2254,chài,chai3,tsài,tsai3,V,,,載,"carry, take, transport(by vehicle ship, plane)",,,20,chai
2255,chài,chai3,tsài,tsai3,Pmod,,,再,again,,,20,chai
2256,chài-chián,chai3-chian2,tsài-tsián,tsai3-tsian2,IE,,,再見,goodbye,,,20,chai-chian
2257,chài-hoat-sèng,chai3-hoat-seng3,tsài-huat-sìng,tsai3-huat-sing3,N/Med,,,再發性,recurrent nature (of a disease),,,20,chai-hoat-seng
2258,chài-hōe,chai3-hoe7,tsài-huē,tsai3-hue7,IE,,,再會,see you again! good-bye!,,,20,chai-hoe
2259,chài-hun,chai3-hun,tsài-hun,tsai3-hun,V,,,再婚,marry again,,,20,chai-hun
2260,chài-lîm,chai3-lim5,tsài-lîm,tsai3-lim5,V/Bib,,,再臨,descend again,,,20,chai-lim
2261,chài-lîm,chai3-lim5,tsài-lîm,tsai3-lim5,N/Bib,,,再臨,the Second Coming (of Jesus),,,20,chai-lim
2262,chài-saⁿ chài-sì,chai3-sann chai3-si3,tsài-sann tsài-sì,tsai3-sann tsai3-si3,Smod/Pmod,,,再三再四,again and again,,,20,chai-sa chai-si
2263,chài-seng,chai3-seng,tsài-sing,tsai3-sing,V/med,,,再生,regenerate,,,20,chai-seng
2264,chài-seng-kiat,chai3-seng-kiat,tsài-sing-kiat,tsai3-sing-kiat,N,lia̍p/châng,,再生橘,"a small sour orange, Citrus microcarpa",,,20,chai-seng-kiat
2265,châi,chai5,tsâi,tsai5,N,,,身材,appearance (person),,,20,chai
2266,châi,chai5,tsâi,tsai5,N/R,,,財富,wealth,,,20,chai
2267,châi-bū,chai5-bu7,tsâi-bū,tsai5-bu7,N,,,財務,financial affairs,,,20,chai-bu
2268,châi-bu̍t,chai5-but8,tsâi-bu̍t,tsai5-but8,N,,,財物,"goods, possessions, riches",,,20,chai-but
2269,châi-chèng,chai5-cheng3,tsâi-tsìng,tsai5-tsing3,N,,,財政,"finance, money",,,20,chai-cheng
2270,châi-chêng,chai5-cheng5,tsâi-tsîng,tsai5-tsing5,N,,,才能,"ability, talent",,,20,chai-cheng
2271,châi-chú,chai5-chu2,tsâi-tsú,tsai5-tsu2,N,ê,,財主,wealthy man,,,20,chai-chu
2272,châi-goân,chai5-goan5,tsâi-guân,tsai5-guan5,N,,,財源,"financial resource, a source of revenue",,,20,chai-goan
2273,châi-hoa̍t,chai5-hoat8,tsâi-hua̍t,tsai5-huat8,N,,,財閥,"cartel, financial combine",,,20,chai-hoat
2274,châi-hù,chai5-hu3,tsâi-hù,tsai5-hu3,N,,,財富,"total worth, income and wealth and property",,,20,chai-hu
2275,châi-kài,chai5-kai3,tsâi-kài,tsai5-kai3,N,,,金融界,the financial world,,,20,chai-kai
2276,châi-lêng,chai5-leng5,tsâi-lîng,tsai5-ling5,N,,,才能,"ability, capability",,,20,chai-leng
2277,châi-lī,chai5-li7,tsâi-lī,tsai5-li7,N,,,財利,"wealth , profit",,,20,chai-li
2278,châi-liāu,chai5-liau7,tsâi-liāu,tsai5-liau7,N,,,材料,raw materials,,,20,chai-liau
2279,châi-pó,chai5-po2,tsâi-pó,tsai5-po2,N,,,財寶,treasure,,,20,chai-po
2280,châi-sán,chai5-san2,tsâi-sán,tsai5-san2,N,,,財產,property (money and chattels and real estate),,,20,chai-san
2281,châi-sîn,chai5-sin5,tsâi-sîn,tsai5-sin5,N,,,財神,the god of wealth,,,20,chai-sin
2282,châi-sîn,chai5-sin5,tsâi-sîn,tsai5-sin5,N/fig,,,財神,a wealthy benefactor,,,20,chai-sin
2283,châi-tek,chai5-tek,tsâi-tik,tsai5-tik,N,,,才德,ability and virtue,,,20,chai-tek
2284,châi-tiāu,chai5-tiau7,tsâi-tiāu,tsai5-tiau7,N,,,才幹,"talent, ability",,,20,chai-tiau
2285,châi-tiāu,chai5-tiau7,tsâi-tiāu,tsai5-tiau7,SV,,,才幹,"capable, talented",,,20,chai-tiau
2286,châi-tòa,chai5-toa3,tsâi-tuà,tsai5-tua3,N/Anat,tiâu,,臍帶,umbilical cord,,,20,chai-toa
2287,châi-thoân hoat-jîn,chai5-thoan5 hoat-jin5,tsâi-thuân huat-jîn,tsai5-thuan5 huat-jin5,N,,,財團法人,"registered corporation based on corporate ownership of real estate, capital or other property; foundation, property-holding body, juridical “person”",,siā-thoân hoat-jîn,20,chai-thoan hoat-jin
2288,chāi/tī,chai7/ti7,tsāi/tī,tsai7/ti7,V,,,在,"be at, in or on",,,20,chai/ti
2289,chāi,chai7,tsāi,tsai7,SV,,chāi-chāi/chāi-chāi-chāi,穩,steady,,,20,chai
2290,chāi-àn,chai7-an3,tsāi-àn,tsai7-an3,VO,,,有案,"be on record, be in the file (application, offence, etc)",,,20,chai-an
2291,chāi-àn,chai7-an3,tsāi-àn,tsai7-an3,VO,,,有案,be before the court (a case),,,20,chai-an
2292,chāi-chá,chai7-cha2,tsāi-tsá,tsai7-tsa2,NT,,,古時,"long ago, in ancient times",,,20,chai-cha
2293,chāi-chit,chai7-chit,tsāi-tsit,tsai7-tsit,VO,,,在職,"be in office, hold a professional position ,<[chai7-chit e5 si5]: while in office>",,chāi-jīm,20,chai-chit
2294,chāi-chō,chai7-cho7,tsāi-tsō,tsai7-tso7,VO,,,在座,be present <[chai7-cho7 e5 lang5]: the audience>,,,20,chai-cho
2295,chāi-gia̍h,chai7-giah8,tsāi-gia̍h,tsai7-giah8,VO,,,正式,"be a regular employee, have permanent employment",,,20,chai-giah
2296,chāi-gōa,chai7-goa7,tsāi-guā,tsai7-gua7,VO,,,在外,be excluded,,,20,chai-goa
2297,chāi-ha̍k,chai7-hak8,tsāi-ha̍k,tsai7-hak8,VO,,,在學,be in school <[chai7-hak8 cheng3-beng5]: certificate that one is a student>,,,20,chai-hak
2298,chāi-jīm,chai7-jim7,tsāi-jīm,tsai7-jim7,VO,,,在位,have a term of office,,chāi-chit,20,chai-jim
2299,chāi-khò͘-phín,chai7-khoo3-phin2,tsāi-khòo-phín,tsai7-khoo3-phin2,N,,,存貨,"stock on hand, goods in stock",,,20,chai-kho-phin
2300,chāi-lâi,chai7-lai5,tsāi-lâi,tsai7-lai5,Smod/Pmod,,,向來,"hitherto, before now (comparing previous situation with the present )",,,20,chai-lai
