id,poj_unicode,poj_input,kip_unicode,kip_input,abbreviations,noun_classifiers,reduplication,hoabun,english,synonym,cf,page_number,poj_normalized
14383,jiōng-ú,jiong7-u2,jiōng-ú,jiong7-u2,V,,,讓與,cede or transfer (property),,,118,jiong-u
14384,jiōng-ú,jiong7-u2,jiōng-ú,jiong7-u2,V,,,讓與,make concession,,,118,jiong-u
14385,jip,jip,jip,jip,V,,,追,"pursue, chase (syn jiok)",,,118,jip
14386,ji̍p,jip8,ji̍p,jip8,V,,,入,"enter, set in (as a stone)",,,118,jip
14387,ji̍p-bo̍k,jip8-bok8,ji̍p-bo̍k,jip8-bok8,VO,,,入殮,encoffin,,,118,jip-bok
14388,ji̍p-bo̍k-sek,jip8-bok8-sek,ji̍p-bo̍k-sik,jip8-bok8-sik,N,,,入殮儀式,encoffininf ceremony,,,118,jip-bok-sek
14389,ji̍p-bûn,jip8-bun5,ji̍p-bûn,jip8-bun5,N,,,入門,"introdiction, amnual, primer",,,118,jip-bun
14390,ji̍p-che̍k,jip8-chek8,ji̍p-tsi̍k,jip8-tsik8,VO,,,歸化,"be registered (birth, marriage, also of entering the name of another's child under one's own name for some purpose)",,,118,jip-chek
14391,ji̍p-che̍k,jip8-chek8,ji̍p-tsi̍k,jip8-tsik8,VO,,,歸化,be naturalized,,,118,jip-chek
14392,ji̍p-chhiú,jip8-chhiu2,ji̍p-tshiú,jip8-tshiu2,VO,,,著手,"receive, get (in one's hand)",,,118,jip-chhiu
14393,ji̍p-chhù,jip8-chhu3,ji̍p-tshù,jip8-tshu3,VO,,,進屋,enter a house,,,118,jip-chhu
14394,ji̍p-chhù,jip8-chhu3,ji̍p-tshù,jip8-tshu3,VO,,,温居,hold a house-warming,,,118,jip-chhu
14395,ji̍p-chhù,jip8-chhu3,ji̍p-tshù,jip8-tshu3,VO,,,温居,send a present for or attend a house-warming,,,118,jip-chhu
14396,ji̍p-ga̍k,jip8-gak8,ji̍p-ga̍k,jip8-gak8,VO,,,入獄,be imprisoned,,,118,jip-gak
